user_count,proof_size_bytes,proof_gen_time_ms,vk_size_bytes,verification_time_ms,total_population_time_ms,avg_population_time_ms,total_structure_storage_bytes
128,7104,431.03,1888,35.78,1021.57,7.9810,22089
256,7104,439.88,1888,34.99,2077.25,8.1143,43281
512,7104,460.63,1888,35.78,4016.10,7.8439,85855
1024,7104,435.86,1888,34.10,8319.23,8.1243,171167
2048,7104,448.47,1888,35.19,16201.25,7.9108,343040
4096,7104,450.83,1888,34.61,32002.02,7.8130,687950
8192,7104,448.75,1888,35.26,63592.49,7.7628,1378941
16384,7104,434.74,1888,34.20,127507.86,7.7825,2768388
32768,7104,449.25,1888,34.84,248586.88,7.5863,5558473
65536,7104,467.11,1888,35.76,507752.42,7.7477,11150247
131072,7104,439.22,1888,34.45,1000978.99,7.6369,22375533
262144,7104,433.32,1888,34.64,2011264.40,7.6724,44937972
524288,7104,444.07,1888,34.65,4026190.30,7.6793,90174609
1048576,7104,461.61,1888,36.54,8110852.26,7.7351,180806494
128,2240,653.64,1779,141.77,980.37,7.6591,22096
256,2240,642.25,1779,115.32,1824.12,7.1255,43275
512,2240,593.59,1779,108.49,3406.71,6.6537,85831
1024,2240,690.38,1779,116.31,6592.98,6.4385,171146
2048,2240,593.29,1779,122.11,12718.84,6.2104,342981
4096,2240,502.59,1779,78.31,24514.19,5.9849,687866
8192,2240,643.78,1779,126.32,48022.62,5.8621,1378827
16384,2240,506.67,1779,82.34,94982.91,5.7973,2768307
32768,2240,640.74,1779,109.97,187662.46,5.727,5558671
65536,2240,662.87,1779,128.25,374516.21,5.7147,11150500
131072,2240,718.95,1779,143.11,752354.08,5.74,22376145
262144,2240,701.09,1779,129.23,1505641.33,5.7436,44938479
524288,2240,688.63,1779,160.27,3015569.36,5.7517,90174842
1048576,2240,803.26,1779,196.77,6085652.78,5.8037,180806270
