user_count,proof_size_bytes,proof_gen_time_ms,vk_size_bytes,verification_time_ms,total_population_time_ms,avg_population_time_ms,total_structure_storage_bytes
128,7488,540.74,1888,36.84,8.56,0.0669,20825
256,7488,512.00,1888,35.20,16.86,0.0659,41582
512,7488,551.04,1888,36.49,28.68,0.0560,83093
1024,7488,505.60,1888,33.53,54.70,0.0534,166134
2048,7488,532.37,1888,35.21,103.56,0.0506,333737
4096,7488,558.88,1888,36.40,205.23,0.0501,669939
8192,7488,519.11,1888,34.82,409.37,0.0500,1342339
16384,7488,528.90,1888,35.52,773.29,0.0472,2694280
32768,7488,530.08,1888,35.23,1536.42,0.0469,5416671
65536,7488,540.52,1888,35.51,3155.33,0.0481,10861492
131072,7488,521.96,1888,35.51,6239.82,0.0476,21757578
262144,7488,517.98,1888,35.16,12767.01,0.0487,43800377
524288,7488,525.92,1888,35.55,27838.65,0.0531,87886938
1048576,7488,509.43,1888,35.23,65600.00,0.0626,176058748
