user_count,proof_size_bytes,proof_gen_time_ms,vk_size_bytes,verification_time_ms,total_population_time_ms,avg_population_time_ms,total_structure_storage_bytes
128,7104,130.12,1888,18.13,89.08,0.6959,22102
256,7104,96.27,1888,13.13,82.23,0.3212,43269
512,7104,95.96,1888,13.40,152.50,0.2978,85815
1024,7104,97.22,1888,12.80,314.61,0.3072,171153
2048,7104,96.76,1888,12.98,589.22,0.2877,343007
4096,7104,94.91,1888,13.02,1162.63,0.2838,687865
8192,7104,97.17,1888,13.62,2328.61,0.2843,1378880
16384,7104,96.71,1888,13.80,4635.99,0.2830,2768410
32768,7104,99.13,1888,14.92,9253.22,0.2824,5558828
65536,7104,97.55,1888,14.86,18457.89,0.2816,11150677
131072,7104,98.16,1888,16.34,36912.81,0.2816,22375947
262144,7104,101.50,1888,17.43,73896.27,0.2819,44938281
524288,7104,104.49,1888,18.88,147743.55,0.2818,90174869
1048576,7104,105.58,1888,21.57,296417.28,0.2827,180807791
128,7104,466.98,1888,37.19,110.31,0.8618,22104
256,7104,463.53,1888,37.97,217.18,0.8484,43289
512,7104,462.51,1888,37.57,420.47,0.8212,85838
1024,7104,477.97,1888,37.79,816.02,0.7969,171157
2048,7104,457.50,1888,37.13,1575.89,0.7695,342977
4096,7104,457.66,1888,37.48,3155.13,0.7703,687922
8192,7104,459.11,1888,37.44,6461.06,0.7887,1378920
16384,7104,460.01,1888,37.12,13017.95,0.7946,2768305
32768,7104,520.32,1888,42.12,25919.94,0.7910,5558559
65536,7104,467.55,1888,38.77,50700.31,0.7736,11150295
131072,7104,455.92,1888,38.34,101927.26,0.7776,22376104
262144,7104,486.89,1888,39.60,203026.16,0.7745,44938879
524288,7104,485.58,1888,39.63,423369.09,0.8075,90175259
1048576,7104,477.45,1888,38.82,822428.12,0.7843,180807796
